,taxpayer_id,states,FiledLate,MaritalStatus,EmploymentStatus,EducationLevel,Age_mean,income,median_monthly_income,cleaned_tax,statemode,CreditScore_constant,CreditScore_missing,LoanAmount_end_of_tail
0,1,TR,0,Divorced,Employed,Bachelor,56.0,59935.80079297256,5004.438100873866,7983.148454689412,TR,811.0,0,189684.97716020307
1,2,AR,0,Divorced,Self-Employed,Bachelor,69.0,59935.80079297256,5207.968842067704,8748.687831443733,AR,483.0,0,262455.6262016797
2,3,TN,0,Widowed,Retired,PhD,46.0,59772.41137784797,4981.034281487331,7954.482275569595,TN,500.0,0,208709.09685816235
3,4,SK,0,Widowed,Self-Employed,Bachelor,32.0,62268.009342793215,5189.000778566101,8680.402802837965,SK,645.0,0,171939.83794510894
4,5,MH,1,Divorced,Employed,PhD,60.0,53330.99824486222,4444.249853738518,6666.199648972443,MH,329.0,0,218700.2625113582
5,6,MN,1,Single,Retired,Bachelor,48.78677777777778,59935.80079297256,5004.438100873866,2226.49259960121,MN,423.0,0,90878.36090665088
6,7,NL,1,Married,Self-Employed,Bachelor,78.0,52856.9120265964,4404.742668883033,6571.382405319279,NL,769.0,0,283688.83820262674
7,8,UK,1,Single,Employed,High School,38.0,68437.49611767514,5703.1246764729285,10531.248835302542,UK,787.0,0,33685.739262782474
8,9,OR,0,Married,Unemployed,PhD,56.0,57535.17020503072,4794.597517085894,7507.034041006144,OR,623.0,0,198003.03879581264
9,10,SK,0,Single,Retired,Master,75.0,67046.790716349,5587.232559695751,10114.0372149047,SK,583.0,0,260816.5114036424
10,11,JH,1,Married,Employed,Bachelor,36.0,49437.90546882927,4119.825455735772,7983.148454689412,JH,592.0,0,442695.1039730998
11,12,PB,0,Divorced,Self-Employed,High School,40.0,77898.04943780272,5004.438100873866,13369.414831340817,PB,372.0,0,162473.6084028096
12,13,MZ,1,Divorced,Unemployed,Master,28.0,13986.27838551599,1165.5231987929992,398.6278385515991,MZ,550.0,0,287969.7014828175
13,14,MZ,0,Divorced,Self-Employed,PhD,28.0,62545.92923262039,5212.160769385032,8763.778769786117,MZ,426.0,0,442695.1039730998
14,15,OR,1,Divorced,Retired,Bachelor,41.0,59935.80079297256,7023.3205206819175,15283.953874454905,OR,-1.0,1,334776.5305172936
15,16,TS,1,Married,Employed,High School,70.0,59935.80079297256,7246.547774062194,16087.571986623898,TS,630.0,0,183208.6669766145
