taxpayer_id,age,monthly_income,Dependents,states,FiledLate,PropertyValue,LoanAmount,CreditScore,MaritalStatus,EmploymentStatus,EducationLevel,HealthExpenses,annual_income,tax
1,56.0,,,TR,0,383443.74565283116,189684.97716020307,811.0,Divorced,Employed,Bachelor,,,
2,69.0,5207.968842067704,3.0,AR,0,343516.4972947078,262455.6262016797,483.0,Divorced,Self-Employed,Bachelor,4663.079051548727,,8748.687831443733
3,46.0,4981.034281487331,1.0,TN,0,224628.87459628814,208709.09685816235,500.0,Widowed,Retired,PhD,,59772.41137784797,7954.482275569595
4,32.0,5189.000778566101,1.0,SK,0,364442.52117298706,171939.83794510894,645.0,Widowed,Self-Employed,Bachelor,4656.760460034127,62268.009342793215,8680.402802837965
5,60.0,4444.249853738518,2.0,MH,1,448992.6353600279,218700.2625113582,329.0,Divorced,Employed,PhD,2856.2191008583923,53330.99824486222,6666.199648972443
6,,,,MN,1,348494.4138474831,90878.36090665087,423.0,Single,Retired,Bachelor,8329.403244210278,,2226.49259960121
7,78.0,4404.742668883033,4.0,NL,1,319014.7992125213,283688.83820262674,769.0,Married,Self-Employed,Bachelor,,52856.912026596394,6571.382405319279
8,38.0,5703.1246764729285,3.0,UK,1,132513.20571073084,33685.739262782474,787.0,Single,Employed,High School,7722.024833251409,68437.49611767514,10531.248835302542
9,56.0,4794.597517085894,2.0,OR,0,193689.9846696001,198003.03879581264,623.0,Married,Unemployed,PhD,2814.98489966224,57535.17020503072,7507.034041006144
10,75.0,5587.232559695751,,SK,0,228123.35868084434,260816.51140364242,583.0,Single,Retired,Master,4492.804492014113,67046.790716349,10114.0372149047
11,36.0,4119.825455735772,,JH,1,190131.48575903813,,592.0,Married,Employed,Bachelor,5381.741651488407,49437.90546882927,
12,40.0,,,PB,0,283565.4044103549,162473.6084028096,372.0,Divorced,Self-Employed,High School,6315.859537044493,77898.04943780272,13369.414831340815
13,28.0,1165.5231987929992,4.0,MZ,1,207143.1188199692,287969.7014828175,550.0,Divorced,Unemployed,Master,,13986.27838551599,398.6278385515991
14,28.0,5212.160769385032,4.0,MZ,0,386626.52183210663,,426.0,Divorced,Self-Employed,PhD,,62545.92923262039,8763.778769786117
15,41.0,7023.3205206819175,,OR,1,260126.13053586223,334776.5305172936,,Divorced,Retired,Bachelor,3677.289885361026,,15283.953874454903
16,70.0,7246.547774062194,2.0,TS,1,188432.78339257988,183208.6669766145,630.0,Married,Employed,High School,,,16087.571986623898
17,53.0,,1.0,UK,1,207728.03947254986,180376.6490402443,452.0,Married,Self-Employed,Master,3654.319888198195,55827.128953635445,7165.425790727089
18,57.0,3010.7027665356736,4.0,BR,1,306841.96807881066,258249.25840482817,630.0,Divorced,Self-Employed,Master,4746.075095615133,36128.43319842809,3225.6866396856176
19,41.0,7049.709263515038,3.0,KA,0,271784.8014964705,175179.43363569654,596.0,Married,Employed,Master,5103.70378317156,84596.51116218045,15378.953348654137
20,20.0,4922.202249791659,4.0,MZ,0,304176.89918609225,207678.88454544474,,Single,Retired,Master,3343.3458912549822,59066.426997499904,7813.285399499981
21,39.0,4761.545691095179,,TS,0,,245703.53539337474,356.0,Widowed,Retired,Master,,57138.54829314214,7427.709658628429
22,70.0,3660.718038683404,1.0,JH,1,471799.0078162543,101969.92892975327,800.0,Married,Retired,High School,3409.8702347427716,43928.616464200844,4785.723292840169
23,19.0,,0.0,SK,1,385660.0846528651,,302.0,Married,Unemployed,Bachelor,,37502.025344551366,3500.4050689102733
24,,5845.794753386532,,MZ,0,213991.94463865407,,777.0,Single,Unemployed,PhD,,70149.53704063839,11044.861112191516
